fips,year,pop_check1,state_abbrev,state_name
6,1989,21605832,CA,CALIFORNIA
6,1990,21979014,CA,CALIFORNIA
6,1991,22225132,CA,CALIFORNIA
6,1992,22535012,CA,CALIFORNIA
6,1993,22650118,CA,CALIFORNIA
6,1994,22694376,CA,CALIFORNIA
6,1995,22776004,CA,CALIFORNIA
6,1996,22939316,CA,CALIFORNIA
6,1997,23350652,CA,CALIFORNIA
6,1998,23824436,CA,CALIFORNIA
6,1999,24291326,CA,CALIFORNIA
6,2000,24720888,CA,CALIFORNIA
6,2001,25153992,CA,CALIFORNIA
6,2002,25506700,CA,CALIFORNIA
6,2003,25848564,CA,CALIFORNIA
6,2004,26156080,CA,CALIFORNIA
6,2005,26422378,CA,CALIFORNIA
6,2006,26650318,CA,CALIFORNIA
6,2007,26914692,CA,CALIFORNIA
6,2008,27282716,CA,CALIFORNIA
6,2009,27666728,CA,CALIFORNIA
6,2010,28038944,CA,CALIFORNIA
6,2011,28391168,CA,CALIFORNIA
6,2012,28750032,CA,CALIFORNIA
6,2013,29094984,CA,CALIFORNIA
6,2014,29450726,CA,CALIFORNIA
6,2015,29785476,CA,CALIFORNIA
6,2016,30060644,CA,CALIFORNIA
6,2017,30287696,CA,CALIFORNIA
6,2018,30462986,CA,CALIFORNIA
6,2019,30556506,CA,CALIFORNIA
6,2020,30576844,CA,CALIFORNIA
8,1969,1386428,CO,COLORADO
8,1970,1449781,CO,COLORADO
8,1971,1514093,CO,COLORADO
8,1972,1597126,CO,COLORADO
8,1973,1675492,CO,COLORADO
8,1974,1725311,CO,COLORADO
8,1975,1774709,CO,COLORADO
8,1976,1830122,CO,COLORADO
8,1977,1894484,CO,COLORADO
8,1978,1963107,CO,COLORADO
8,1979,2039143,CO,COLORADO
8,1980,2098145,CO,COLORADO
8,1981,2159933,CO,COLORADO
8,1982,2231874,CO,COLORADO
8,1983,2288389,CO,COLORADO
8,1984,2319797,CO,COLORADO
8,1985,2350270,CO,COLORADO
8,1986,2371034,CO,COLORADO
8,1987,2385776,CO,COLORADO
8,1988,2391686,CO,COLORADO
8,1989,2409744,CO,COLORADO
8,1990,2425978,CO,COLORADO
8,1991,2490582,CO,COLORADO
8,1992,2570362,CO,COLORADO
8,1993,2665928,CO,COLORADO
8,1994,2757756,CO,COLORADO
8,1995,2842343,CO,COLORADO
8,1996,2916026,CO,COLORADO
8,1997,2987736,CO,COLORADO
8,1998,3056573,CO,COLORADO
8,1999,3142080,CO,COLORADO
8,2000,3220245,CO,COLORADO
8,2001,3299040,CO,COLORADO
8,2002,3352133,CO,COLORADO
8,2003,3384135,CO,COLORADO
8,2004,3428644,CO,COLORADO
8,2005,3475489,CO,COLORADO
8,2006,3548591,CO,COLORADO
8,2007,3614434,CO,COLORADO
8,2008,3686441,CO,COLORADO
8,2009,3754982,CO,COLORADO
8,2010,3820259,CO,COLORADO
8,2011,3889068,CO,COLORADO
8,2012,3957199,CO,COLORADO
8,2013,4029749,CO,COLORADO
8,2014,4104487,CO,COLORADO
8,2015,4196016,CO,COLORADO
8,2016,4279740,CO,COLORADO
8,2017,4353202,CO,COLORADO
8,2018,4432929,CO,COLORADO
8,2019,4501813,CO,COLORADO
8,2020,4557684,CO,COLORADO
9,1969,1986516,CT,CONNECTICUT
9,1970,2016893,CT,CONNECTICUT
9,1971,2047921,CT,CONNECTICUT
9,1972,2073618,CT,CONNECTICUT
9,1973,2095436,CT,CONNECTICUT
9,1974,2122468,CT,CONNECTICUT
9,1975,2151979,CT,CONNECTICUT
9,1976,2177896,CT,CONNECTICUT
9,1977,2204582,CT,CONNECTICUT
9,1978,2233266,CT,CONNECTICUT
9,1979,2261867,CT,CONNECTICUT
9,1980,2294799,CT,CONNECTICUT
9,1981,2327761,CT,CONNECTICUT
9,1982,2355891,CT,CONNECTICUT
9,1983,2389490,CT,CONNECTICUT
9,1984,2417982,CT,CONNECTICUT
9,1985,2444346,CT,CONNECTICUT
9,1986,2468299,CT,CONNECTICUT
9,1987,2493747,CT,CONNECTICUT
9,1988,2518248,CT,CONNECTICUT
9,1989,2531431,CT,CONNECTICUT
9,1990,2539301,CT,CONNECTICUT
9,1991,2536591,CT,CONNECTICUT
9,1992,2523448,CT,CONNECTICUT
9,1993,2518426,CT,CONNECTICUT
9,1994,2514890,CT,CONNECTICUT
9,1995,2515521,CT,CONNECTICUT
9,1996,2524830,CT,CONNECTICUT
9,1997,2534975,CT,CONNECTICUT
9,1998,2540752,CT,CONNECTICUT
9,1999,2551747,CT,CONNECTICUT
9,2000,2569535,CT,CONNECTICUT
9,2001,2586985,CT,CONNECTICUT
9,2002,2609872,CT,CONNECTICUT
9,2003,2633221,CT,CONNECTICUT
9,2004,2647115,CT,CONNECTICUT
9,2005,2662922,CT,CONNECTICUT
9,2006,2678088,CT,CONNECTICUT
9,2007,2693786,CT,CONNECTICUT
9,2008,2718953,CT,CONNECTICUT
9,2009,2740968,CT,CONNECTICUT
9,2010,2764774,CT,CONNECTICUT
9,2011,2783911,CT,CONNECTICUT
9,2012,2800510,CT,CONNECTICUT
9,2013,2813054,CT,CONNECTICUT
9,2014,2822669,CT,CONNECTICUT
9,2015,2826387,CT,CONNECTICUT
9,2016,2827529,CT,CONNECTICUT
9,2017,2831595,CT,CONNECTICUT
9,2018,2838500,CT,CONNECTICUT
9,2019,2838742,CT,CONNECTICUT
9,2020,2838054,CT,CONNECTICUT
10,1969,341829,DE,DELAWARE
10,1970,353691,DE,DELAWARE
10,1971,365769,DE,DELAWARE
10,1972,375651,DE,DELAWARE
10,1973,383832,DE,DELAWARE
10,1974,391349,DE,DELAWARE
10,1975,399975,DE,DELAWARE
10,1976,407908,DE,DELAWARE
10,1977,414229,DE,DELAWARE
10,1978,421615,DE,DELAWARE
10,1979,427220,DE,DELAWARE
10,1980,429296,DE,DELAWARE
10,1981,434567,DE,DELAWARE
10,1982,439601,DE,DELAWARE
10,1983,446347,DE,DELAWARE
10,1984,453241,DE,DELAWARE
10,1985,459606,DE,DELAWARE
10,1986,467935,DE,DELAWARE
10,1987,477284,DE,DELAWARE
10,1988,486780,DE,DELAWARE
10,1989,496029,DE,DELAWARE
10,1990,503939,DE,DELAWARE
10,1991,513170,DE,DELAWARE
10,1992,520759,DE,DELAWARE
10,1993,529462,DE,DELAWARE
10,1994,536712,DE,DELAWARE
10,1995,547999,DE,DELAWARE
10,1996,556956,DE,DELAWARE
10,1997,564880,DE,DELAWARE
10,1998,574033,DE,DELAWARE
10,1999,582480,DE,DELAWARE
10,2000,591459,DE,DELAWARE
10,2001,599661,DE,DELAWARE
10,2002,609223,DE,DELAWARE
10,2003,619958,DE,DELAWARE
10,2004,631172,DE,DELAWARE
10,2005,643162,DE,DELAWARE
10,2006,655539,DE,DELAWARE
10,2007,666594,DE,DELAWARE
10,2008,677758,DE,DELAWARE
10,2009,685517,DE,DELAWARE
10,2010,694117,DE,DELAWARE
10,2011,702746,DE,DELAWARE
10,2012,711290,DE,DELAWARE
10,2013,720622,DE,DELAWARE
10,2014,729567,DE,DELAWARE
10,2015,738143,DE,DELAWARE
10,2016,745946,DE,DELAWARE
10,2017,753777,DE,DELAWARE
10,2018,762831,DE,DELAWARE
10,2019,772405,DE,DELAWARE
10,2020,782153,DE,DELAWARE
11,1969,531706,DC,DISTRICT OF COLUMBIA
11,1970,532349,DC,DISTRICT OF COLUMBIA
11,1971,532834,DC,DISTRICT OF COLUMBIA
11,1972,532939,DC,DISTRICT OF COLUMBIA
11,1973,531119,DC,DISTRICT OF COLUMBIA
11,1974,527794,DC,DISTRICT OF COLUMBIA
11,1975,526016,DC,DISTRICT OF COLUMBIA
11,1976,520472,DC,DISTRICT OF COLUMBIA
11,1977,514492,DC,DISTRICT OF COLUMBIA
11,1978,510492,DC,DISTRICT OF COLUMBIA
11,1979,504621,DC,DISTRICT OF COLUMBIA
11,1980,495054,DC,DISTRICT OF COLUMBIA
11,1981,499081,DC,DISTRICT OF COLUMBIA
11,1982,501701,DC,DISTRICT OF COLUMBIA
11,1983,503929,DC,DISTRICT OF COLUMBIA
11,1984,507018,DC,DISTRICT OF COLUMBIA
11,1985,508261,DC,DISTRICT OF COLUMBIA
11,1986,511009,DC,DISTRICT OF COLUMBIA
11,1987,510063,DC,DISTRICT OF COLUMBIA
11,1988,505134,DC,DISTRICT OF COLUMBIA
11,1989,500157,DC,DISTRICT OF COLUMBIA
11,1990,492689,DC,DISTRICT OF COLUMBIA
11,1991,484045,DC,DISTRICT OF COLUMBIA
11,1992,478929,DC,DISTRICT OF COLUMBIA
11,1993,474830,DC,DISTRICT OF COLUMBIA
11,1994,467069,DC,DISTRICT OF COLUMBIA
11,1995,456897,DC,DISTRICT OF COLUMBIA
11,1996,451167,DC,DISTRICT OF COLUMBIA
11,1997,448205,DC,DISTRICT OF COLUMBIA
11,1998,451391,DC,DISTRICT OF COLUMBIA
11,1999,455211,DC,DISTRICT OF COLUMBIA
11,2000,457543,DC,DISTRICT OF COLUMBIA
11,2001,459879,DC,DISTRICT OF COLUMBIA
11,2002,459336,DC,DISTRICT OF COLUMBIA
11,2003,457099,DC,DISTRICT OF COLUMBIA
11,2004,457998,DC,DISTRICT OF COLUMBIA
11,2005,459949,DC,DISTRICT OF COLUMBIA
11,2006,465030,DC,DISTRICT OF COLUMBIA
11,2007,470278,DC,DISTRICT OF COLUMBIA
11,2008,477979,DC,DISTRICT OF COLUMBIA
11,2009,490130,DC,DISTRICT OF COLUMBIA
11,2010,504016,DC,DISTRICT OF COLUMBIA
11,2011,516370,DC,DISTRICT OF COLUMBIA
11,2012,528072,DC,DISTRICT OF COLUMBIA
11,2013,539546,DC,DISTRICT OF COLUMBIA
11,2014,547800,DC,DISTRICT OF COLUMBIA
11,2015,557837,DC,DISTRICT OF COLUMBIA
11,2016,565995,DC,DISTRICT OF COLUMBIA
11,2017,572258,DC,DISTRICT OF COLUMBIA
11,2018,577444,DC,DISTRICT OF COLUMBIA
11,2019,580301,DC,DISTRICT OF COLUMBIA
11,2020,583228,DC,DISTRICT OF COLUMBIA
12,1969,4489162,FL,FLORIDA
12,1970,4740724,FL,FLORIDA
12,1971,4994264,FL,FLORIDA
12,1972,5294004,FL,FLORIDA
12,1973,5631005,FL,FLORIDA
12,1974,5959269,FL,FLORIDA
12,1975,6179580,FL,FLORIDA
12,1976,6366090,FL,FLORIDA
12,1977,6577741,FL,FLORIDA
12,1978,6826110,FL,FLORIDA
12,1979,7143050,FL,FLORIDA
12,1980,7469797,FL,FLORIDA
12,1981,7782715,FL,FLORIDA
12,1982,8045252,FL,FLORIDA
12,1983,8303859,FL,FLORIDA
12,1984,8562602,FL,FLORIDA
12,1985,8820770,FL,FLORIDA
12,1986,9068210,FL,FLORIDA
12,1987,9335082,FL,FLORIDA
12,1988,9565928,FL,FLORIDA
12,1989,9829413,FL,FLORIDA
12,1990,10044500,FL,FLORIDA
12,1991,10324160,FL,FLORIDA
12,1992,10530114,FL,FLORIDA
12,1993,10713119,FL,FLORIDA
12,1994,10939557,FL,FLORIDA
12,1995,11171407,FL,FLORIDA
12,1996,11421665,FL,FLORIDA
12,1997,11684035,FL,FLORIDA
12,1998,11928998,FL,FLORIDA
12,1999,12147710,FL,FLORIDA
12,2000,12392635,FL,FLORIDA
12,2001,12642527,FL,FLORIDA
12,2002,12914746,FL,FLORIDA
12,2003,13183209,FL,FLORIDA
12,2004,13524584,FL,FLORIDA
12,2005,13873860,FL,FLORIDA
12,2006,14144078,FL,FLORIDA
12,2007,14336744,FL,FLORIDA
12,2008,14508933,FL,FLORIDA
12,2009,14655361,FL,FLORIDA
12,2010,14848458,FL,FLORIDA
12,2011,15055836,FL,FLORIDA
12,2012,15293175,FL,FLORIDA
12,2013,15528132,FL,FLORIDA
12,2014,15798828,FL,FLORIDA
12,2015,16114774,FL,FLORIDA
12,2016,16463604,FL,FLORIDA
12,2017,16772222,FL,FLORIDA
12,2018,17028792,FL,FLORIDA
12,2019,17258088,FL,FLORIDA
12,2020,17482580,FL,FLORIDA
13,1969,2880636,GA,GEORGIA
13,1970,2960744,GA,GEORGIA
13,1971,3041530,GA,GEORGIA
13,1972,3128504,GA,GEORGIA
13,1973,3218582,GA,GEORGIA
13,1974,3307135,GA,GEORGIA
13,1975,3380548,GA,GEORGIA
13,1976,3464163,GA,GEORGIA
13,1977,3557200,GA,GEORGIA
13,1978,3640826,GA,GEORGIA
13,1979,3745835,GA,GEORGIA
13,1980,3839374,GA,GEORGIA
13,1981,3929242,GA,GEORGIA
13,1982,4019012,GA,GEORGIA
13,1983,4102367,GA,GEORGIA
13,1984,4205747,GA,GEORGIA
13,1985,4313208,GA,GEORGIA
13,1986,4415737,GA,GEORGIA
13,1987,4521157,GA,GEORGIA
13,1988,4607056,GA,GEORGIA
13,1989,4684931,GA,GEORGIA
13,1990,4765239,GA,GEORGIA
13,1991,4879330,GA,GEORGIA
13,1992,4999422,GA,GEORGIA
13,1993,5113219,GA,GEORGIA
13,1994,5250626,GA,GEORGIA
13,1995,5378595,GA,GEORGIA
13,1996,5507898,GA,GEORGIA
13,1997,5650936,GA,GEORGIA
13,1998,5784538,GA,GEORGIA
13,1999,5915268,GA,GEORGIA
13,2000,6050727,GA,GEORGIA
13,2001,6161648,GA,GEORGIA
13,2002,6258472,GA,GEORGIA
13,2003,6344083,GA,GEORGIA
13,2004,6460397,GA,GEORGIA
13,2005,6572318,GA,GEORGIA
13,2006,6749799,GA,GEORGIA
13,2007,6893739,GA,GEORGIA
13,2008,7025746,GA,GEORGIA
13,2009,7135065,GA,GEORGIA
13,2010,7222411,GA,GEORGIA
13,2011,7317045,GA,GEORGIA
13,2012,7418788,GA,GEORGIA
13,2013,7491410,GA,GEORGIA
13,2014,7581730,GA,GEORGIA
